id,name,scientific_name,class,order,family,habitat,continent,diet,size,lifespan,conservation_status,description,image_url,fact
1,Lion,Panthera leo,Mammalia,Carnivora,Felidae,Savannas,Africa,Carnivore,"1.2 m (shoulder height), 250 kg",15 years,Vulnerable,"A large cat with a prominent mane on males, known for living in prides. They are apex predators in their ecosystem.",https://example.com/lion.jpg,"A lion's roar can be heard from up to 8 kilometers (5 miles) away."
2,Bald Eagle,Haliaeetus leucocephalus,Aves,Accipitriformes,Accipitridae,Forests,North America,Carnivore,"1 m (wingspan), 6.3 kg",20 years,Least Concern,"A large bird of prey native to North America, known for its white head and tail feathers. It is the national bird of the United States.",https://example.com/bald_eagle.jpg,"Bald eagles can fly to an altitude of 10,000 feet."
3,Blue Whale,Balaenoptera musculus,Mammalia,Artiodactyla,Balaenopteridae,Ocean,All,Carnivore,"30 m (length), 200,000 kg",90 years,Endangered,"The largest animal ever known to have existed, a marine mammal with a streamlined body. It feeds on small crustaceans.",https://example.com/blue_whale.jpg,"The blue whale's heart is the size of a small car and its tongue can weigh as much as an elephant."
4,Komodo Dragon,Varanus komodoensis,Reptilia,Squamata,Varanidae,Tropical Savannas,Asia,Carnivore,"3 m (length), 70 kg",30 years,Endangered,"The world's largest living lizard, found on the Indonesian islands of Komodo. It uses a venomous bite to subdue prey.",https://example.com/komodo_dragon.jpg,"Komodo dragons can eat up to 80% of their body weight in a single meal."
5,Poison Dart Frog,Dendrobatidae,Amphibia,Anura,Dendrobatidae,Rainforest,South America,Carnivore,"5 cm (length), 5 g",10 years,Least Concern,"A family of small, brightly colored frogs native to Central and South America. Their skin secretes a potent poison.",https://example.com/poison_dart_frog.jpg,"The brilliant colors of poison dart frogs serve as a warning to predators."
6,Emperor Penguin,Aptenodytes forsteri,Aves,Sphenisciformes,Spheniscidae,Antarctic Ice,Antarctica,Carnivore,"1.2 m (height), 40 kg",20 years,Near Threatened,"The tallest and heaviest of all living penguin species, endemic to Antarctica. They breed during the Antarctic winter.",https://example.com/emperor_penguin.jpg,"Emperor penguins can dive to depths of over 500 meters (1,640 feet)."
7,Giraffe,Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,Savannas,Africa,Herbivore,"5.5 m (height), 1,200 kg",25 years,Vulnerable,"The tallest living terrestrial animal and the largest ruminant. It is known for its extremely long neck and legs.",https://example.com/giraffe.jpg,"Giraffes only need 5 to 30 minutes of sleep in a 24-hour period."
8,Red Panda,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Temperate Forests,Asia,Herbivore,"60 cm (length), 5 kg",15 years,Endangered,"A small mammal native to the eastern Himalayas and southwestern China. It has a reddish-brown coat and a long, bushy tail.",https://example.com/red_panda.jpg,"Despite its name, the red panda is not closely related to the giant panda."
9,Monarch Butterfly,Danaus plexippus,Insecta,Lepidoptera,Nymphalidae,Various,North America,Herbivore,"10 cm (wingspan), 0.5 g",9 months,Endangered,"A well-known migratory butterfly native to the Americas. They are known for their spectacular long-distance migration.",https://example.com/monarch_butterfly.jpg,"Monarch butterflies migrate up to 3,000 miles (4,800 km) to escape cold weather."
10,Great White Shark,Carcharodon carcharias,Chondrichthyes,Lamniformes,Lamnidae,Coastal Waters,All,Carnivore,"6 m (length), 2,200 kg",70 years,Vulnerable,"A large mackerel shark known for its size and powerful predatory nature. It is an apex predator of the ocean.",https://example.com/great_white_shark.jpg,"The great white shark has no bones in its body; its skeleton is made of cartilage."
11,Pangolin,Pholidota,Mammalia,Pholidota,Manidae,Forests,Asia & Africa,Carnivore,"1 m (length), 30 kg",20 years,Critically Endangered,"A nocturnal mammal covered in large, keratin scales. It is the only mammal with this unique armor.",https://example.com/pangolin.jpg,"Pangolins can roll into a tight ball when threatened, protecting themselves with their scaly armor."
12,Bengal Tiger,Panthera tigris tigris,Mammalia,Carnivora,Felidae,Tropical Forests,Asia,Carnivore,"3 m (length), 220 kg",15 years,Endangered,"A large carnivorous feline native to the Indian subcontinent. It is a powerful apex predator.",https://example.com/bengal_tiger.jpg,"The stripes on a tiger are as unique as a human's fingerprint."
13,Green Sea Turtle,Chelonia mydas,Reptilia,Testudines,Cheloniidae,Coastal Waters,All,Herbivore,"1.5 m (length), 200 kg",80 years,Endangered,"A large sea turtle found in tropical and subtropical seas. Its name comes from the green fat beneath its shell.",https://example.com/green_sea_turtle.jpg,"Green sea turtles can travel thousands of miles to return to the same beach where they were born to lay their eggs."
14,Fennec Fox,Vulpes zerda,Mammalia,Carnivora,Canidae,Deserts,Africa,Omnivore,"40 cm (length), 1.5 kg",14 years,Least Concern,"A small nocturnal fox native to the Sahara Desert. Its large ears help dissipate heat.",https://example.com/fennec_fox.jpg,"The fennec fox's large ears can grow up to 15 cm (6 inches) long."
15,Koala,Phascolarctos cinereus,Mammalia,Diprotodontia,Phascolarctidae,Eucalyptus Forests,Australia,Herbivore,"80 cm (length), 10 kg",18 years,Vulnerable,"A herbivorous marsupial native to Australia. It has a rounded, tailless body and large nose.",https://example.com/koala.jpg,"Koalas have fingerprints that are almost identical to human fingerprints."
16,Grizzly Bear,Ursus arctos horribilis,Mammalia,Carnivora,Ursidae,Forests,North America,Omnivore,"2 m (height), 400 kg",25 years,Least Concern,"A large subspecies of brown bear found in North America. They have a prominent shoulder hump and long claws.",https://example.com/grizzly_bear.jpg,"Grizzly bears can run up to 35 mph, a surprising speed for their size."
17,Piranha,Serrasalminae,Actinopterygii,Characiformes,Serrasalmidae,Rivers,South America,Carnivore,"30 cm (length), 2 kg",10 years,Least Concern,"A freshwater fish known for its sharp teeth and powerful bite. They are found in South American rivers.",https://example.com/piranha.jpg,"Piranhas are not as aggressive as they are often portrayed and are primarily scavengers."
18,Tarsier,Tarsiidae,Mammalia,Primates,Tarsiidae,Tropical Forests,Asia,Carnivore,"15 cm (length), 150 g",12 years,Vulnerable,"A small primate known for its extremely large eyes and long fingers. It is a nocturnal hunter of insects and small vertebrates.",https://example.com/tarsier.jpg,"A tarsier's eyes are so large they cannot move them within their sockets."
19,Octopus,Octopoda,Cephalopoda,Octopoda,Octopodidae,Ocean,All,Carnivore,"1 m (arm span), 5 kg",3 years,Least Concern,"A soft-bodied marine mollusk with eight arms. They are highly intelligent and masters of camouflage.",https://example.com/octopus.jpg,"An octopus has three hearts and blue blood."
20,Western Gorilla,Gorilla gorilla,Mammalia,Primates,Hominidae,Tropical Forests,Africa,Herbivore,"1.7 m (height), 180 kg",40 years,Critically Endangered,"The most widespread of the gorilla subspecies. They live in social groups called troops led by a silverback male.",https://example.com/western_gorilla.jpg,"Despite their intimidating size, gorillas are generally peaceful herbivores."